DateTime,Away,Home
"Tue, Oct 28, 2008 8:00 pm",Cleveland Cavaliers,Boston Celtics
"Tue, Oct 28, 2008 7:30 pm",Milwaukee Bucks,Chicago Bulls
"Tue, Oct 28, 2008 7:30 pm",Portland Trail Blazers,Los Angeles Lakers
"Wed, Oct 29, 2008 8:00 pm",Indiana Pacers,Detroit Pistons
"Wed, Oct 29, 2008 7:30 pm",New Orleans Hornets,Golden State Warriors
"Wed, Oct 29, 2008 7:30 pm",Memphis Grizzlies,Houston Rockets
"Wed, Oct 29, 2008 7:30 pm",Los Angeles Lakers,Los Angeles Clippers
"Wed, Oct 29, 2008 7:00 pm",Sacramento Kings,Minnesota Timberwolves
"Wed, Oct 29, 2008 7:30 pm",Miami Heat,New York Knicks
"Wed, Oct 29, 2008 7:00 pm",Milwaukee Bucks,Oklahoma City Thunder
"Wed, Oct 29, 2008 7:00 pm",Atlanta Hawks,Orlando Magic
"Wed, Oct 29, 2008 6:00 pm",Toronto Raptors,Philadelphia 76ers
"Wed, Oct 29, 2008 7:00 pm",Phoenix Suns,San Antonio Spurs
"Wed, Oct 29, 2008 7:00 pm",Denver Nuggets,Utah Jazz
"Wed, Oct 29, 2008 7:00 pm",New Jersey Nets,Washington Wizards
"Thu, Oct 30, 2008 7:00 pm",Charlotte Bobcats,Cleveland Cavaliers
"Thu, Oct 30, 2008 7:00 pm",Houston Rockets,Dallas Mavericks
"Thu, Oct 30, 2008 7:30 pm",New Orleans Hornets,Phoenix Suns
"Fri, Oct 31, 2008 8:00 pm",Chicago Bulls,Boston Celtics
"Fri, Oct 31, 2008 7:30 pm",Denver Nuggets,Los Angeles Clippers
"Fri, Oct 31, 2008 7:00 pm",Orlando Magic,Memphis Grizzlies
"Fri, Oct 31, 2008 7:30 pm",Sacramento Kings,Miami Heat
"Fri, Oct 31, 2008 7:00 pm",New York Knicks,Philadelphia 76ers
"Fri, Oct 31, 2008 7:30 pm",San Antonio Spurs,Portland Trail Blazers
"Fri, Oct 31, 2008 7:00 pm",Golden State Warriors,Toronto Raptors
"Sat, Nov 1, 2008 7:00 pm",Philadelphia 76ers,Atlanta Hawks
"Sat, Nov 1, 2008 7:00 pm",Miami Heat,Charlotte Bobcats
"Sat, Nov 1, 2008 7:30 pm",Memphis Grizzlies,Chicago Bulls
"Sat, Nov 1, 2008 7:00 pm",Los Angeles Lakers,Denver Nuggets
"Sat, Nov 1, 2008 7:30 pm",Washington Wizards,Detroit Pistons
"Sat, Nov 1, 2008 7:30 pm",Oklahoma City Thunder,Houston Rockets
"Sat, Nov 1, 2008 7:00 pm",Boston Celtics,Indiana Pacers
"Sat, Nov 1, 2008 7:30 pm",Toronto Raptors,Milwaukee Bucks
"Sat, Nov 1, 2008 7:00 pm",Dallas Mavericks,Minnesota Timberwolves
"Sat, Nov 1, 2008 7:30 pm",Golden State Warriors,New Jersey Nets
"Sat, Nov 1, 2008 7:00 pm",Cleveland Cavaliers,New Orleans Hornets
"Sat, Nov 1, 2008 7:00 pm",Sacramento Kings,Orlando Magic
"Sat, Nov 1, 2008 7:00 pm",Portland Trail Blazers,Phoenix Suns
"Sat, Nov 1, 2008 7:00 pm",Los Angeles Clippers,Utah Jazz
"Sun, Nov 2, 2008 6:00 pm",Milwaukee Bucks,New York Knicks
"Sun, Nov 2, 2008 6:00 pm",Minnesota Timberwolves,Oklahoma City Thunder
"Mon, Nov 3, 2008 7:00 pm",Detroit Pistons,Charlotte Bobcats
"Mon, Nov 3, 2008 7:30 pm",Cleveland Cavaliers,Dallas Mavericks
"Mon, Nov 3, 2008 7:30 pm",Utah Jazz,Los Angeles Clippers
"Mon, Nov 3, 2008 7:00 pm",Golden State Warriors,Memphis Grizzlies
"Mon, Nov 3, 2008 7:00 pm",Chicago Bulls,Orlando Magic
"Mon, Nov 3, 2008 7:00 pm",Sacramento Kings,Philadelphia 76ers
"Tue, Nov 4, 2008 7:30 pm",Boston Celtics,Houston Rockets
"Tue, Nov 4, 2008 7:30 pm",Phoenix Suns,New Jersey Nets
"Tue, Nov 4, 2008 7:30 pm",Dallas Mavericks,San Antonio Spurs
"Wed, Nov 5, 2008 8:00 pm",Chicago Bulls,Cleveland Cavaliers
"Wed, Nov 5, 2008 7:30 pm",Denver Nuggets,Golden State Warriors
"Wed, Nov 5, 2008 7:00 pm",Phoenix Suns,Indiana Pacers
"Wed, Nov 5, 2008 7:30 pm",Los Angeles Clippers,Los Angeles Lakers
"Wed, Nov 5, 2008 7:30 pm",Philadelphia 76ers,Miami Heat
"Wed, Nov 5, 2008 7:00 pm",Washington Wizards,Milwaukee Bucks
"Wed, Nov 5, 2008 7:00 pm",San Antonio Spurs,Minnesota Timberwolves
"Wed, Nov 5, 2008 7:00 pm",Atlanta Hawks,New Orleans Hornets
"Wed, Nov 5, 2008 7:30 pm",Charlotte Bobcats,New York Knicks
"Wed, Nov 5, 2008 7:00 pm",Boston Celtics,Oklahoma City Thunder
"Wed, Nov 5, 2008 7:00 pm",Memphis Grizzlies,Sacramento Kings
"Wed, Nov 5, 2008 7:00 pm",Detroit Pistons,Toronto Raptors
"Wed, Nov 5, 2008 7:00 pm",Portland Trail Blazers,Utah Jazz
"Thu, Nov 6, 2008 8:00 pm",Philadelphia 76ers,Orlando Magic
"Thu, Nov 6, 2008 7:30 pm",Houston Rockets,Portland Trail Blazers
"Fri, Nov 7, 2008 7:30 pm",Toronto Raptors,Atlanta Hawks
"Fri, Nov 7, 2008 7:30 pm",Milwaukee Bucks,Boston Celtics
"Fri, Nov 7, 2008 7:00 pm",New Orleans Hornets,Charlotte Bobcats
"Fri, Nov 7, 2008 7:30 pm",Phoenix Suns,Chicago Bulls
"Fri, Nov 7, 2008 7:30 pm",Indiana Pacers,Cleveland Cavaliers
"Fri, Nov 7, 2008 8:30 pm",Dallas Mavericks,Denver Nuggets
"Fri, Nov 7, 2008 7:30 pm",Memphis Grizzlies,Golden State Warriors
"Fri, Nov 7, 2008 7:30 pm",Houston Rockets,Los Angeles Clippers
"Fri, Nov 7, 2008 7:30 pm",Detroit Pistons,New Jersey Nets
"Fri, Nov 7, 2008 7:00 pm",Minnesota Timberwolves,Sacramento Kings
"Fri, Nov 7, 2008 7:00 pm",Miami Heat,San Antonio Spurs
"Fri, Nov 7, 2008 7:00 pm",Oklahoma City Thunder,Utah Jazz
"Fri, Nov 7, 2008 7:00 pm",New York Knicks,Washington Wizards
"Sat, Nov 8, 2008 7:30 pm",Cleveland Cavaliers,Chicago Bulls
"Sat, Nov 8, 2008 7:00 pm",New Jersey Nets,Indiana Pacers
"Sat, Nov 8, 2008 7:30 pm",Phoenix Suns,Milwaukee Bucks
"Sat, Nov 8, 2008 7:00 pm",Miami Heat,New Orleans Hornets
"Sat, Nov 8, 2008 7:00 pm",Washington Wizards,Orlando Magic
"Sat, Nov 8, 2008 7:00 pm",Minnesota Timberwolves,Portland Trail Blazers
"Sun, Nov 9, 2008 1:00 pm",Toronto Raptors,Charlotte Bobcats
"Sun, Nov 9, 2008 6:00 pm",Memphis Grizzlies,Denver Nuggets
"Sun, Nov 9, 2008 6:00 pm",Boston Celtics,Detroit Pistons
"Sun, Nov 9, 2008 12:30 pm",Dallas Mavericks,Los Angeles Clippers
"Sun, Nov 9, 2008 6:30 pm",Houston Rockets,Los Angeles Lakers
"Sun, Nov 9, 2008 3:00 pm",Utah Jazz,New York Knicks
"Sun, Nov 9, 2008 6:00 pm",Atlanta Hawks,Oklahoma City Thunder
"Sun, Nov 9, 2008 6:00 pm",Golden State Warriors,Sacramento Kings
"Mon, Nov 10, 2008 7:30 pm",Toronto Raptors,Boston Celtics
"Mon, Nov 10, 2008 7:00 pm",Oklahoma City Thunder,Indiana Pacers
"Mon, Nov 10, 2008 7:30 pm",New Jersey Nets,Miami Heat
"Mon, Nov 10, 2008 7:00 pm",Portland Trail Blazers,Orlando Magic
"Mon, Nov 10, 2008 7:00 pm",Memphis Grizzlies,Phoenix Suns
"Tue, Nov 11, 2008 7:00 pm",Denver Nuggets,Charlotte Bobcats
"Tue, Nov 11, 2008 7:30 pm",Atlanta Hawks,Chicago Bulls
"Tue, Nov 11, 2008 7:00 pm",Milwaukee Bucks,Cleveland Cavaliers
"Tue, Nov 11, 2008 7:30 pm",Los Angeles Lakers,Dallas Mavericks
"Tue, Nov 11, 2008 7:30 pm",Minnesota Timberwolves,Golden State Warriors
"Tue, Nov 11, 2008 7:00 pm",Utah Jazz,Philadelphia 76ers
"Tue, Nov 11, 2008 7:00 pm",Detroit Pistons,Sacramento Kings
"Tue, Nov 11, 2008 7:30 pm",New York Knicks,San Antonio Spurs
"Wed, Nov 12, 2008 7:30 pm",Atlanta Hawks,Boston Celtics
"Wed, Nov 12, 2008 7:30 pm",Sacramento Kings,Los Angeles Clippers
"Wed, Nov 12, 2008 7:00 pm",New York Knicks,Memphis Grizzlies
