DateTime,Away,Home
"Fri, Nov 8, 2013 8:00 pm",Los Angeles Lakers,New Orleans Pelicans
"Fri, Nov 8, 2013 7:00 pm",Boston Celtics,Orlando Magic
"Fri, Nov 8, 2013 7:00 pm",Cleveland Cavaliers,Philadelphia 76ers
"Fri, Nov 8, 2013 9:00 pm",Denver Nuggets,Phoenix Suns
"Fri, Nov 8, 2013 10:00 pm",Sacramento Kings,Portland Trail Blazers
"Fri, Nov 8, 2013 8:30 pm",Golden State Warriors,San Antonio Spurs
"Fri, Nov 8, 2013 7:00 pm",Brooklyn Nets,Washington Wizards
"Sat, Nov 9, 2013 7:30 pm",Orlando Magic,Atlanta Hawks
"Sat, Nov 9, 2013 7:30 pm",Indiana Pacers,Brooklyn Nets
"Sat, Nov 9, 2013 7:30 pm",Philadelphia 76ers,Cleveland Cavaliers
"Sat, Nov 9, 2013 8:00 pm",Los Angeles Clippers,Houston Rockets
"Sat, Nov 9, 2013 8:00 pm",Golden State Warriors,Memphis Grizzlies
"Sat, Nov 9, 2013 7:30 pm",Boston Celtics,Miami Heat
"Sat, Nov 9, 2013 8:30 pm",Dallas Mavericks,Milwaukee Bucks
"Sat, Nov 9, 2013 10:00 pm",Portland Trail Blazers,Sacramento Kings
"Sat, Nov 9, 2013 7:00 pm",Utah Jazz,Toronto Raptors
"Sun, Nov 10, 2013 9:30 pm",Minnesota Timberwolves,Los Angeles Lakers
"Sun, Nov 10, 2013 12:00 am",San Antonio Spurs,New York Knicks
"Sun, Nov 10, 2013 7:00 pm",Washington Wizards,Oklahoma City Thunder
"Sun, Nov 10, 2013 8:00 pm",New Orleans Pelicans,Phoenix Suns
"Mon, Nov 11, 2013 7:30 pm",Orlando Magic,Boston Celtics
"Mon, Nov 11, 2013 7:00 pm",Atlanta Hawks,Charlotte Bobcats
"Mon, Nov 11, 2013 8:00 pm",Cleveland Cavaliers,Chicago Bulls
"Mon, Nov 11, 2013 8:00 pm",Toronto Raptors,Houston Rockets
"Mon, Nov 11, 2013 7:00 pm",Memphis Grizzlies,Indiana Pacers
"Mon, Nov 11, 2013 10:30 pm",Minnesota Timberwolves,Los Angeles Clippers
"Mon, Nov 11, 2013 7:00 pm",San Antonio Spurs,Philadelphia 76ers
"Mon, Nov 11, 2013 10:00 pm",Detroit Pistons,Portland Trail Blazers
