DateTime,Away,Home,Arena
2017-10-28 20:00:00,Boston Celtics,Miami Heat,AmericanAirlines Arena
2017-10-28 20:00:00,Oklahoma City Thunder,Chicago Bulls,United Center
2017-10-28 20:00:00,Houston Rockets,Memphis Grizzlies,FedExForum
2017-10-28 20:30:00,Philadelphia 76ers,Dallas Mavericks,American Airlines Center
2017-10-28 21:00:00,Los Angeles Lakers,Utah Jazz,Vivint Smart Home Arena
2017-10-28 22:00:00,Phoenix Suns,Portland Trail Blazers,Moda Center
2017-10-28 22:30:00,Detroit Pistons,Los Angeles Clippers,Staples Center
2017-10-29 15:30:00,Milwaukee Bucks,Atlanta Hawks,Philips Arena
2017-10-29 16:30:00,San Antonio Spurs,Indiana Pacers,Bankers Life Fieldhouse
2017-10-29 18:00:00,Washington Wizards,Sacramento Kings,Golden 1 Center
2017-10-29 18:00:00,Denver Nuggets,Brooklyn Nets,Barclays Center
2017-10-29 18:00:00,Orlando Magic,Charlotte Hornets,Spectrum Center
2017-10-29 19:00:00,New York Knicks,Cleveland Cavaliers,Quicken Loans Arena
2017-10-29 20:30:00,Detroit Pistons,Golden State Warriors,Oracle Arena
2017-10-30 19:30:00,Denver Nuggets,New York Knicks,Madison Square Garden
2017-10-30 19:30:00,San Antonio Spurs,Boston Celtics,TD Garden
2017-10-30 19:30:00,Minnesota Timberwolves,Miami Heat,AmericanAirlines Arena
2017-10-30 20:00:00,Philadelphia 76ers,Houston Rockets,Toyota Center
2017-10-30 20:00:00,Charlotte Hornets,Memphis Grizzlies,FedExForum
2017-10-30 20:00:00,Orlando Magic,New Orleans Pelicans,Smoothie King Center
2017-10-30 21:00:00,Dallas Mavericks,Utah Jazz,Vivint Smart Home Arena
2017-10-30 22:00:00,Toronto Raptors,Portland Trail Blazers,Moda Center
2017-10-30 22:30:00,Golden State Warriors,Los Angeles Clippers,Staples Center
2017-10-31 19:00:00,Sacramento Kings,Indiana Pacers,Bankers Life Fieldhouse
2017-10-31 19:30:00,Phoenix Suns,Brooklyn Nets,Barclays Center
2017-10-31 20:00:00,Oklahoma City Thunder,Milwaukee Bucks,BMO Harris Bradley Center
2017-10-31 22:30:00,Detroit Pistons,Los Angeles Lakers,Staples Center
2017-11-01 19:00:00,Atlanta Hawks,Philadelphia 76ers,Wells Fargo Center
2017-11-01 19:00:00,Indiana Pacers,Cleveland Cavaliers,Quicken Loans Arena
2017-11-01 19:00:00,Phoenix Suns,Washington Wizards,Capital One Arena
2017-11-01 19:00:00,Milwaukee Bucks,Charlotte Hornets,Spectrum Center
2017-11-01 19:30:00,Chicago Bulls,Miami Heat,AmericanAirlines Arena
2017-11-01 19:30:00,Sacramento Kings,Boston Celtics,TD Garden
2017-11-01 20:00:00,Orlando Magic,Memphis Grizzlies,FedExForum
2017-11-01 20:00:00,Minnesota Timberwolves,New Orleans Pelicans,Smoothie King Center
2017-11-01 20:00:00,Houston Rockets,New York Knicks,Madison Square Garden
2017-11-01 21:00:00,Toronto Raptors,Denver Nuggets,Pepsi Center
2017-11-01 21:00:00,Portland Trail Blazers,Utah Jazz,Vivint Smart Home Arena
2017-11-01 22:30:00,Dallas Mavericks,Los Angeles Clippers,Staples Center
2017-11-02 20:00:00,Golden State Warriors,San Antonio Spurs,AT&T Center
2017-11-02 22:30:00,Los Angeles Lakers,Portland Trail Blazers,Moda Center
2017-11-03 19:00:00,Cleveland Cavaliers,Washington Wizards,Capital One Arena
2017-11-03 19:00:00,Milwaukee Bucks,Detroit Pistons,Little Caesars Arena
2017-11-03 19:00:00,Indiana Pacers,Philadelphia 76ers,Wells Fargo Center
2017-11-03 19:00:00,Chicago Bulls,Orlando Magic,Amway Center
2017-11-03 19:30:00,Phoenix Suns,New York Knicks,Madison Square Garden
2017-11-03 19:30:00,Houston Rockets,Atlanta Hawks,Philips Arena
2017-11-03 20:30:00,New Orleans Pelicans,Dallas Mavericks,American Airlines Center
2017-11-03 20:30:00,Charlotte Hornets,San Antonio Spurs,AT&T Center
2017-11-03 21:00:00,Miami Heat,Denver Nuggets,Pepsi Center
2017-11-03 21:00:00,Toronto Raptors,Utah Jazz,Vivint Smart Home Arena
2017-11-03 21:30:00,Boston Celtics,Oklahoma City Thunder,Chesapeake Energy Arena
2017-11-03 22:30:00,Brooklyn Nets,Los Angeles Lakers,Staples Center
2017-11-04 15:30:00,Memphis Grizzlies,Los Angeles Clippers,Staples Center
2017-11-04 19:00:00,Sacramento Kings,Detroit Pistons,Little Caesars Arena
2017-11-04 20:00:00,New Orleans Pelicans,Chicago Bulls,United Center
2017-11-04 20:00:00,Dallas Mavericks,Minnesota Timberwolves,Target Center
2017-11-04 21:00:00,Golden State Warriors,Denver Nuggets,Pepsi Center
2017-11-05 15:00:00,Atlanta Hawks,Cleveland Cavaliers,Quicken Loans Arena
2017-11-05 15:30:00,Miami Heat,Los Angeles Clippers,Staples Center
2017-11-05 18:00:00,Boston Celtics,Orlando Magic,Amway Center
2017-11-05 18:00:00,Washington Wizards,Toronto Raptors,Air Canada Centre
2017-11-05 19:00:00,Phoenix Suns,San Antonio Spurs,AT&T Center
2017-11-05 19:00:00,Utah Jazz,Houston Rockets,Toyota Center
2017-11-05 19:30:00,Indiana Pacers,New York Knicks,Madison Square Garden
2017-11-05 20:00:00,Charlotte Hornets,Minnesota Timberwolves,Target Center
2017-11-05 21:00:00,Oklahoma City Thunder,Portland Trail Blazers,Moda Center
2017-11-05 21:30:00,Memphis Grizzlies,Los Angeles Lakers,Staples Center
2017-11-06 19:30:00,Boston Celtics,Atlanta Hawks,Philips Arena
2017-11-06 21:00:00,Brooklyn Nets,Phoenix Suns,Talking Stick Resort Arena
2017-11-06 22:30:00,Miami Heat,Golden State Warriors,Oracle Arena
2017-11-07 19:00:00,Dallas Mavericks,Washington Wizards,Capital One Arena
2017-11-07 19:00:00,Milwaukee Bucks,Cleveland Cavaliers,Quicken Loans Arena
2017-11-07 19:00:00,New Orleans Pelicans,Indiana Pacers,Bankers Life Fieldhouse
2017-11-07 19:30:00,Chicago Bulls,Toronto Raptors,Air Canada Centre
2017-11-07 19:30:00,Charlotte Hornets,New York Knicks,Madison Square Garden
2017-11-07 20:30:00,Los Angeles Clippers,San Antonio Spurs,AT&T Center
2017-11-07 21:00:00,Brooklyn Nets,Denver Nuggets,Pepsi Center
2017-11-07 21:00:00,Philadelphia 76ers,Utah Jazz,Vivint Smart Home Arena
2017-11-07 22:00:00,Oklahoma City Thunder,Sacramento Kings,Golden 1 Center
2017-11-07 22:00:00,Memphis Grizzlies,Portland Trail Blazers,Moda Center
2017-11-08 19:00:00,Indiana Pacers,Detroit Pistons,Little Caesars Arena
2017-11-08 19:00:00,New York Knicks,Orlando Magic,Amway Center
2017-11-08 20:00:00,Los Angeles Lakers,Boston Celtics,TD Garden
2017-11-08 21:00:00,Miami Heat,Phoenix Suns,Talking Stick Resort Arena
2017-11-08 22:30:00,Minnesota Timberwolves,Golden State Warriors,Oracle Arena
2017-11-09 19:00:00,Los Angeles Lakers,Washington Wizards,Capital One Arena
2017-11-09 19:30:00,New Orleans Pelicans,Toronto Raptors,Air Canada Centre
2017-11-09 20:00:00,Cleveland Cavaliers,Houston Rockets,Toyota Center
2017-11-09 22:00:00,Philadelphia 76ers,Sacramento Kings,Golden 1 Center
2017-11-09 22:30:00,Oklahoma City Thunder,Denver Nuggets,Pepsi Center
2017-11-10 19:00:00,Atlanta Hawks,Detroit Pistons,Little Caesars Arena
2017-11-10 19:30:00,Charlotte Hornets,Boston Celtics,TD Garden
2017-11-10 20:00:00,Indiana Pacers,Chicago Bulls,United Center
2017-11-10 21:00:00,Los Angeles Clippers,Oklahoma City Thunder,Chesapeake Energy Arena
2017-11-10 21:00:00,Orlando Magic,Phoenix Suns,Talking Stick Resort Arena
2017-11-10 21:00:00,Milwaukee Bucks,San Antonio Spurs,AT&T Center
2017-11-10 21:00:00,Miami Heat,Utah Jazz,Vivint Smart Home Arena
2017-11-10 22:00:00,Brooklyn Nets,Portland Trail Blazers,Moda Center
2017-11-11 19:00:00,Atlanta Hawks,Washington Wizards,Capital One Arena
2017-11-11 19:00:00,Los Angeles Clippers,New Orleans Pelicans,Smoothie King Center
2017-11-11 20:00:00,Memphis Grizzlies,Houston Rockets,Toyota Center
2017-11-11 20:00:00,Sacramento Kings,New York Knicks,Madison Square Garden
2017-11-11 20:30:00,Cleveland Cavaliers,Dallas Mavericks,American Airlines Center
2017-11-11 20:30:00,Philadelphia 76ers,Golden State Warriors,Oracle Arena
2017-11-11 20:30:00,Los Angeles Lakers,Milwaukee Bucks,BMO Harris Bradley Center
2017-11-11 20:30:00,Chicago Bulls,San Antonio Spurs,AT&T Center
