DateTime,Away,Home
"Tue, Oct 27, 2009 7:30 pm",Boston Celtics,Cleveland Cavaliers
"Tue, Oct 27, 2009 7:30 pm",Washington Wizards,Dallas Mavericks
"Tue, Oct 27, 2009 7:30 pm",Los Angeles Clippers,Los Angeles Lakers
"Tue, Oct 27, 2009 7:00 pm",Houston Rockets,Portland Trail Blazers
"Wed, Oct 28, 2009 7:00 pm",Indiana Pacers,Atlanta Hawks
"Wed, Oct 28, 2009 7:30 pm",Charlotte Bobcats,Boston Celtics
"Wed, Oct 28, 2009 8:30 pm",Utah Jazz,Denver Nuggets
"Wed, Oct 28, 2009 7:30 pm",Houston Rockets,Golden State Warriors
"Wed, Oct 28, 2009 7:30 pm",Phoenix Suns,Los Angeles Clippers
"Wed, Oct 28, 2009 7:00 pm",Detroit Pistons,Memphis Grizzlies
"Wed, Oct 28, 2009 7:30 pm",New York Knicks,Miami Heat
"Wed, Oct 28, 2009 7:00 pm",New Jersey Nets,Minnesota Timberwolves
"Wed, Oct 28, 2009 7:00 pm",Sacramento Kings,Oklahoma City Thunder
"Wed, Oct 28, 2009 7:00 pm",Philadelphia 76ers,Orlando Magic
"Wed, Oct 28, 2009 7:00 pm",New Orleans Hornets,San Antonio Spurs
"Wed, Oct 28, 2009 7:00 pm",Cleveland Cavaliers,Toronto Raptors
"Thu, Oct 29, 2009 7:00 pm",San Antonio Spurs,Chicago Bulls
"Thu, Oct 29, 2009 7:30 pm",Denver Nuggets,Portland Trail Blazers
"Fri, Oct 30, 2009 7:30 pm",Washington Wizards,Atlanta Hawks
"Fri, Oct 30, 2009 8:00 pm",Chicago Bulls,Boston Celtics
"Fri, Oct 30, 2009 7:00 pm",New York Knicks,Charlotte Bobcats
"Fri, Oct 30, 2009 8:00 pm",Oklahoma City Thunder,Detroit Pistons
"Fri, Oct 30, 2009 8:00 pm",Miami Heat,Indiana Pacers
"Fri, Oct 30, 2009 7:30 pm",Dallas Mavericks,Los Angeles Lakers
"Fri, Oct 30, 2009 7:00 pm",Toronto Raptors,Memphis Grizzlies
"Fri, Oct 30, 2009 7:00 pm",Cleveland Cavaliers,Minnesota Timberwolves
"Fri, Oct 30, 2009 8:00 pm",Orlando Magic,New Jersey Nets
"Fri, Oct 30, 2009 7:00 pm",Sacramento Kings,New Orleans Hornets
"Fri, Oct 30, 2009 7:00 pm",Milwaukee Bucks,Philadelphia 76ers
"Fri, Oct 30, 2009 7:00 pm",Golden State Warriors,Phoenix Suns
"Fri, Oct 30, 2009 7:00 pm",Los Angeles Clippers,Utah Jazz
"Sat, Oct 31, 2009 7:30 pm",Charlotte Bobcats,Cleveland Cavaliers
"Sat, Oct 31, 2009 7:30 pm",Portland Trail Blazers,Houston Rockets
"Sat, Oct 31, 2009 7:30 pm",Dallas Mavericks,Los Angeles Clippers
"Sat, Oct 31, 2009 7:30 pm",Detroit Pistons,Milwaukee Bucks
"Sat, Oct 31, 2009 7:30 pm",Philadelphia 76ers,New York Knicks
"Sat, Oct 31, 2009 7:30 pm",Sacramento Kings,San Antonio Spurs
"Sat, Oct 31, 2009 7:00 pm",New Jersey Nets,Washington Wizards
"Sun, Nov 1, 2009 6:00 pm",New Orleans Hornets,Boston Celtics
"Sun, Nov 1, 2009 6:00 pm",Memphis Grizzlies,Denver Nuggets
"Sun, Nov 1, 2009 6:30 pm",Atlanta Hawks,Los Angeles Lakers
"Sun, Nov 1, 2009 6:00 pm",Chicago Bulls,Miami Heat
"Sun, Nov 1, 2009 6:00 pm",Portland Trail Blazers,Oklahoma City Thunder
"Sun, Nov 1, 2009 6:00 pm",Minnesota Timberwolves,Phoenix Suns
"Sun, Nov 1, 2009 1:00 pm",Orlando Magic,Toronto Raptors
"Mon, Nov 2, 2009 7:00 pm",New Jersey Nets,Charlotte Bobcats
"Mon, Nov 2, 2009 7:30 pm",Minnesota Timberwolves,Los Angeles Clippers
"Mon, Nov 2, 2009 7:30 pm",New Orleans Hornets,New York Knicks
"Mon, Nov 2, 2009 7:00 pm",Memphis Grizzlies,Sacramento Kings
"Mon, Nov 2, 2009 7:00 pm",Houston Rockets,Utah Jazz
"Tue, Nov 3, 2009 7:00 pm",Milwaukee Bucks,Chicago Bulls
"Tue, Nov 3, 2009 7:00 pm",Washington Wizards,Cleveland Cavaliers
"Tue, Nov 3, 2009 7:30 pm",Utah Jazz,Dallas Mavericks
"Tue, Nov 3, 2009 7:30 pm",Orlando Magic,Detroit Pistons
"Tue, Nov 3, 2009 7:00 pm",Denver Nuggets,Indiana Pacers
"Tue, Nov 3, 2009 7:30 pm",Phoenix Suns,Miami Heat
"Tue, Nov 3, 2009 7:00 pm",Los Angeles Lakers,Oklahoma City Thunder
"Tue, Nov 3, 2009 7:00 pm",Boston Celtics,Philadelphia 76ers
"Tue, Nov 3, 2009 7:00 pm",Atlanta Hawks,Portland Trail Blazers
"Wed, Nov 4, 2009 7:30 pm",Memphis Grizzlies,Golden State Warriors
"Wed, Nov 4, 2009 7:30 pm",Los Angeles Lakers,Houston Rockets
"Wed, Nov 4, 2009 7:00 pm",Boston Celtics,Minnesota Timberwolves
"Wed, Nov 4, 2009 7:30 pm",Denver Nuggets,New Jersey Nets
"Wed, Nov 4, 2009 8:30 pm",Dallas Mavericks,New Orleans Hornets
"Wed, Nov 4, 2009 7:30 pm",Indiana Pacers,New York Knicks
"Wed, Nov 4, 2009 7:00 pm",Phoenix Suns,Orlando Magic
"Wed, Nov 4, 2009 7:00 pm",Atlanta Hawks,Sacramento Kings
"Wed, Nov 4, 2009 7:00 pm",Detroit Pistons,Toronto Raptors
"Wed, Nov 4, 2009 7:00 pm",Miami Heat,Washington Wizards
"Thu, Nov 5, 2009 8:00 pm",Chicago Bulls,Cleveland Cavaliers
"Thu, Nov 5, 2009 8:30 pm",San Antonio Spurs,Utah Jazz
"Fri, Nov 6, 2009 7:30 pm",Phoenix Suns,Boston Celtics
"Fri, Nov 6, 2009 7:00 pm",Atlanta Hawks,Charlotte Bobcats
"Fri, Nov 6, 2009 7:30 pm",Los Angeles Clippers,Golden State Warriors
"Fri, Nov 6, 2009 7:30 pm",Oklahoma City Thunder,Houston Rockets
"Fri, Nov 6, 2009 7:00 pm",Washington Wizards,Indiana Pacers
"Fri, Nov 6, 2009 7:30 pm",Memphis Grizzlies,Los Angeles Lakers
"Fri, Nov 6, 2009 7:30 pm",Denver Nuggets,Miami Heat
"Fri, Nov 6, 2009 7:00 pm",Milwaukee Bucks,Minnesota Timberwolves
"Fri, Nov 6, 2009 7:00 pm",Toronto Raptors,New Orleans Hornets
"Fri, Nov 6, 2009 8:00 pm",Cleveland Cavaliers,New York Knicks
"Fri, Nov 6, 2009 7:00 pm",Detroit Pistons,Orlando Magic
"Fri, Nov 6, 2009 7:00 pm",New Jersey Nets,Philadelphia 76ers
"Fri, Nov 6, 2009 7:30 pm",San Antonio Spurs,Portland Trail Blazers
"Sat, Nov 7, 2009 7:00 pm",Denver Nuggets,Atlanta Hawks
"Sat, Nov 7, 2009 7:00 pm",Charlotte Bobcats,Chicago Bulls
"Sat, Nov 7, 2009 7:30 pm",Toronto Raptors,Dallas Mavericks
"Sat, Nov 7, 2009 7:30 pm",Memphis Grizzlies,Los Angeles Clippers
"Sat, Nov 7, 2009 7:30 pm",New York Knicks,Milwaukee Bucks
"Sat, Nov 7, 2009 7:30 pm",Boston Celtics,New Jersey Nets
"Sat, Nov 7, 2009 7:00 pm",Sacramento Kings,Utah Jazz
"Sun, Nov 8, 2009 1:00 pm",Philadelphia 76ers,Detroit Pistons
"Sun, Nov 8, 2009 6:30 pm",New Orleans Hornets,Los Angeles Lakers
"Sun, Nov 8, 2009 6:00 pm",Orlando Magic,Oklahoma City Thunder
"Sun, Nov 8, 2009 6:00 pm",Minnesota Timberwolves,Portland Trail Blazers
"Sun, Nov 8, 2009 6:00 pm",Golden State Warriors,Sacramento Kings
"Sun, Nov 8, 2009 1:00 pm",Phoenix Suns,Washington Wizards
"Mon, Nov 9, 2009 7:30 pm",Minnesota Timberwolves,Golden State Warriors
"Mon, Nov 9, 2009 7:30 pm",New Orleans Hornets,Los Angeles Clippers
"Mon, Nov 9, 2009 7:30 pm",Utah Jazz,New York Knicks
"Mon, Nov 9, 2009 7:00 pm",Phoenix Suns,Philadelphia 76ers
"Mon, Nov 9, 2009 7:30 pm",Toronto Raptors,San Antonio Spurs
"Tue, Nov 10, 2009 7:00 pm",Orlando Magic,Charlotte Bobcats
"Tue, Nov 10, 2009 7:00 pm",Denver Nuggets,Chicago Bulls
"Tue, Nov 10, 2009 7:30 pm",Houston Rockets,Dallas Mavericks
"Tue, Nov 10, 2009 7:00 pm",Portland Trail Blazers,Memphis Grizzlies
"Tue, Nov 10, 2009 7:30 pm",Washington Wizards,Miami Heat
"Tue, Nov 10, 2009 7:00 pm",Oklahoma City Thunder,Sacramento Kings
"Wed, Nov 11, 2009 7:30 pm",Utah Jazz,Boston Celtics
"Wed, Nov 11, 2009 7:30 pm",Charlotte Bobcats,Detroit Pistons
"Wed, Nov 11, 2009 7:30 pm",Memphis Grizzlies,Houston Rockets
"Wed, Nov 11, 2009 7:00 pm",Golden State Warriors,Indiana Pacers
"Wed, Nov 11, 2009 7:30 pm",Oklahoma City Thunder,Los Angeles Clippers
"Wed, Nov 11, 2009 7:00 pm",Denver Nuggets,Milwaukee Bucks
"Wed, Nov 11, 2009 7:00 pm",Portland Trail Blazers,Minnesota Timberwolves
"Wed, Nov 11, 2009 7:30 pm",Philadelphia 76ers,New Jersey Nets
"Wed, Nov 11, 2009 7:30 pm",Atlanta Hawks,New York Knicks
"Wed, Nov 11, 2009 8:00 pm",Cleveland Cavaliers,Orlando Magic
"Wed, Nov 11, 2009 8:30 pm",New Orleans Hornets,Phoenix Suns
"Wed, Nov 11, 2009 7:30 pm",Dallas Mavericks,San Antonio Spurs
"Wed, Nov 11, 2009 7:00 pm",Chicago Bulls,Toronto Raptors
"Thu, Nov 12, 2009 7:30 pm",Phoenix Suns,Los Angeles Lakers
"Thu, Nov 12, 2009 8:00 pm",Cleveland Cavaliers,Miami Heat
"Fri, Nov 13, 2009 8:00 pm",Atlanta Hawks,Boston Celtics
"Fri, Nov 13, 2009 8:30 pm",Los Angeles Lakers,Denver Nuggets
"Fri, Nov 13, 2009 7:30 pm",Toronto Raptors,Los Angeles Clippers
"Fri, Nov 13, 2009 7:00 pm",Dallas Mavericks,Minnesota Timberwolves
"Fri, Nov 13, 2009 7:00 pm",Portland Trail Blazers,New Orleans Hornets
"Fri, Nov 13, 2009 7:30 pm",Golden State Warriors,New York Knicks
