DateTime,Away,Home
"Sun, Dec 25, 2011 1:30 pm",Miami Heat,Dallas Mavericks
"Sun, Dec 25, 2011 7:30 pm",Los Angeles Clippers,Golden State Warriors
"Sun, Dec 25, 2011 2:00 pm",Chicago Bulls,Los Angeles Lakers
"Sun, Dec 25, 2011 12:00 pm",Boston Celtics,New York Knicks
"Sun, Dec 25, 2011 7:00 pm",Orlando Magic,Oklahoma City Thunder
"Mon, Dec 26, 2011 7:00 pm",Milwaukee Bucks,Charlotte Bobcats
"Mon, Dec 26, 2011 7:00 pm",Toronto Raptors,Cleveland Cavaliers
"Mon, Dec 26, 2011 7:30 pm",Denver Nuggets,Dallas Mavericks
"Mon, Dec 26, 2011 7:30 pm",Chicago Bulls,Golden State Warriors
"Mon, Dec 26, 2011 7:00 pm",Detroit Pistons,Indiana Pacers
"Mon, Dec 26, 2011 7:00 pm",Oklahoma City Thunder,Minnesota Timberwolves
"Mon, Dec 26, 2011 7:00 pm",Houston Rockets,Orlando Magic
"Mon, Dec 26, 2011 7:00 pm",New Orleans Hornets,Phoenix Suns
"Mon, Dec 26, 2011 7:00 pm",Philadelphia 76ers,Portland Trail Blazers
"Mon, Dec 26, 2011 7:00 pm",Los Angeles Lakers,Sacramento Kings
"Mon, Dec 26, 2011 7:30 pm",Memphis Grizzlies,San Antonio Spurs
"Mon, Dec 26, 2011 7:00 pm",New Jersey Nets,Washington Wizards
"Tue, Dec 27, 2011 7:30 pm",Utah Jazz,Los Angeles Lakers
"Tue, Dec 27, 2011 8:00 pm",Boston Celtics,Miami Heat
"Tue, Dec 27, 2011 7:30 pm",Minnesota Timberwolves,Milwaukee Bucks
"Tue, Dec 27, 2011 7:30 pm",Atlanta Hawks,New Jersey Nets
"Tue, Dec 27, 2011 7:00 pm",Sacramento Kings,Portland Trail Blazers
"Wed, Dec 28, 2011 7:30 pm",Washington Wizards,Atlanta Hawks
"Wed, Dec 28, 2011 7:00 pm",Miami Heat,Charlotte Bobcats
"Wed, Dec 28, 2011 7:00 pm",Utah Jazz,Denver Nuggets
"Wed, Dec 28, 2011 7:30 pm",Cleveland Cavaliers,Detroit Pistons
"Wed, Dec 28, 2011 7:30 pm",New York Knicks,Golden State Warriors
"Wed, Dec 28, 2011 7:00 pm",Oklahoma City Thunder,Memphis Grizzlies
"Wed, Dec 28, 2011 7:00 pm",Boston Celtics,New Orleans Hornets
"Wed, Dec 28, 2011 7:00 pm",Philadelphia 76ers,Phoenix Suns
"Wed, Dec 28, 2011 7:30 pm",Los Angeles Clippers,San Antonio Spurs
"Wed, Dec 28, 2011 6:00 pm",Indiana Pacers,Toronto Raptors
"Thu, Dec 29, 2011 7:00 pm",San Antonio Spurs,Houston Rockets
"Thu, Dec 29, 2011 7:30 pm",New York Knicks,Los Angeles Lakers
"Thu, Dec 29, 2011 7:00 pm",Dallas Mavericks,Oklahoma City Thunder
"Thu, Dec 29, 2011 7:00 pm",New Jersey Nets,Orlando Magic
"Thu, Dec 29, 2011 7:00 pm",Denver Nuggets,Portland Trail Blazers
"Thu, Dec 29, 2011 7:00 pm",Chicago Bulls,Sacramento Kings
"Fri, Dec 30, 2011 7:30 pm",New Jersey Nets,Atlanta Hawks
"Fri, Dec 30, 2011 7:30 pm",Detroit Pistons,Boston Celtics
"Fri, Dec 30, 2011 7:00 pm",Orlando Magic,Charlotte Bobcats
"Fri, Dec 30, 2011 7:30 pm",Toronto Raptors,Dallas Mavericks
"Fri, Dec 30, 2011 7:00 pm",Cleveland Cavaliers,Indiana Pacers
"Fri, Dec 30, 2011 7:30 pm",Chicago Bulls,Los Angeles Clippers
"Fri, Dec 30, 2011 7:00 pm",Houston Rockets,Memphis Grizzlies
"Fri, Dec 30, 2011 7:30 pm",Washington Wizards,Milwaukee Bucks
"Fri, Dec 30, 2011 7:00 pm",Miami Heat,Minnesota Timberwolves
"Fri, Dec 30, 2011 7:00 pm",Phoenix Suns,New Orleans Hornets
"Fri, Dec 30, 2011 7:00 pm",Philadelphia 76ers,Utah Jazz
