DateTime,Away,Home
"Tue, Oct 30, 2012 7:00 pm",Washington Wizards,Cleveland Cavaliers
"Tue, Oct 30, 2012 7:30 pm",Dallas Mavericks,Los Angeles Lakers
"Tue, Oct 30, 2012 8:00 pm",Boston Celtics,Miami Heat
"Wed, Oct 31, 2012 7:00 pm",Sacramento Kings,Chicago Bulls
"Wed, Oct 31, 2012 7:30 pm",Houston Rockets,Detroit Pistons
"Wed, Oct 31, 2012 7:30 pm",Memphis Grizzlies,Los Angeles Clippers
"Wed, Oct 31, 2012 7:00 pm",San Antonio Spurs,New Orleans Hornets
"Wed, Oct 31, 2012 7:00 pm",Denver Nuggets,Philadelphia 76ers
"Wed, Oct 31, 2012 7:00 pm",Golden State Warriors,Phoenix Suns
"Wed, Oct 31, 2012 7:30 pm",Los Angeles Lakers,Portland Trail Blazers
"Wed, Oct 31, 2012 7:00 pm",Indiana Pacers,Toronto Raptors
"Wed, Oct 31, 2012 7:00 pm",Dallas Mavericks,Utah Jazz
"Thu, Nov 1, 2012 8:30 pm",Oklahoma City Thunder,San Antonio Spurs
"Fri, Nov 2, 2012 7:30 pm",Houston Rockets,Atlanta Hawks
"Fri, Nov 2, 2012 7:30 pm",Milwaukee Bucks,Boston Celtics
"Fri, Nov 2, 2012 7:00 pm",Indiana Pacers,Charlotte Bobcats
"Fri, Nov 2, 2012 7:30 pm",Chicago Bulls,Cleveland Cavaliers
"Fri, Nov 2, 2012 7:30 pm",Memphis Grizzlies,Golden State Warriors
"Fri, Nov 2, 2012 7:30 pm",Los Angeles Clippers,Los Angeles Lakers
"Fri, Nov 2, 2012 7:00 pm",Sacramento Kings,Minnesota Timberwolves
"Fri, Nov 2, 2012 7:00 pm",Utah Jazz,New Orleans Hornets
"Fri, Nov 2, 2012 8:00 pm",Miami Heat,New York Knicks
"Fri, Nov 2, 2012 7:00 pm",Portland Trail Blazers,Oklahoma City Thunder
"Fri, Nov 2, 2012 7:00 pm",Denver Nuggets,Orlando Magic
"Fri, Nov 2, 2012 7:00 pm",Detroit Pistons,Phoenix Suns
"Sat, Nov 3, 2012 7:30 pm",Toronto Raptors,Brooklyn Nets
"Sat, Nov 3, 2012 7:00 pm",New Orleans Hornets,Chicago Bulls
"Sat, Nov 3, 2012 7:30 pm",Charlotte Bobcats,Dallas Mavericks
"Sat, Nov 3, 2012 7:00 pm",Portland Trail Blazers,Houston Rockets
"Sat, Nov 3, 2012 7:00 pm",Sacramento Kings,Indiana Pacers
"Sat, Nov 3, 2012 7:30 pm",Golden State Warriors,Los Angeles Clippers
"Sat, Nov 3, 2012 7:30 pm",Denver Nuggets,Miami Heat
"Sat, Nov 3, 2012 7:30 pm",Cleveland Cavaliers,Milwaukee Bucks
"Sat, Nov 3, 2012 7:30 pm",Utah Jazz,San Antonio Spurs
"Sat, Nov 3, 2012 7:00 pm",Boston Celtics,Washington Wizards
"Sun, Nov 4, 2012 6:30 pm",Detroit Pistons,Los Angeles Lakers
"Sun, Nov 4, 2012 12:00 pm",Philadelphia 76ers,New York Knicks
"Sun, Nov 4, 2012 6:00 pm",Atlanta Hawks,Oklahoma City Thunder
"Sun, Nov 4, 2012 6:00 pm",Phoenix Suns,Orlando Magic
"Sun, Nov 4, 2012 6:00 pm",Minnesota Timberwolves,Toronto Raptors
"Mon, Nov 5, 2012 7:30 pm",Minnesota Timberwolves,Brooklyn Nets
"Mon, Nov 5, 2012 7:30 pm",Portland Trail Blazers,Dallas Mavericks
"Mon, Nov 5, 2012 7:30 pm",Cleveland Cavaliers,Los Angeles Clippers
"Mon, Nov 5, 2012 7:00 pm",Utah Jazz,Memphis Grizzlies
"Mon, Nov 5, 2012 7:30 pm",Phoenix Suns,Miami Heat
"Mon, Nov 5, 2012 7:00 pm",New York Knicks,Philadelphia 76ers
"Mon, Nov 5, 2012 7:00 pm",Golden State Warriors,Sacramento Kings
"Mon, Nov 5, 2012 7:30 pm",Indiana Pacers,San Antonio Spurs
"Tue, Nov 6, 2012 7:00 pm",Orlando Magic,Chicago Bulls
"Tue, Nov 6, 2012 7:00 pm",Detroit Pistons,Denver Nuggets
"Tue, Nov 6, 2012 7:00 pm",Toronto Raptors,Oklahoma City Thunder
"Wed, Nov 7, 2012 7:30 pm",Indiana Pacers,Atlanta Hawks
"Wed, Nov 7, 2012 7:30 pm",Washington Wizards,Boston Celtics
"Wed, Nov 7, 2012 7:00 pm",Phoenix Suns,Charlotte Bobcats
"Wed, Nov 7, 2012 7:30 pm",Toronto Raptors,Dallas Mavericks
"Wed, Nov 7, 2012 7:30 pm",Cleveland Cavaliers,Golden State Warriors
"Wed, Nov 7, 2012 7:00 pm",Denver Nuggets,Houston Rockets
"Wed, Nov 7, 2012 7:30 pm",San Antonio Spurs,Los Angeles Clippers
"Wed, Nov 7, 2012 7:30 pm",Brooklyn Nets,Miami Heat
"Wed, Nov 7, 2012 7:00 pm",Memphis Grizzlies,Milwaukee Bucks
"Wed, Nov 7, 2012 7:00 pm",Orlando Magic,Minnesota Timberwolves
"Wed, Nov 7, 2012 7:00 pm",Philadelphia 76ers,New Orleans Hornets
"Wed, Nov 7, 2012 7:00 pm",Detroit Pistons,Sacramento Kings
"Wed, Nov 7, 2012 7:00 pm",Los Angeles Lakers,Utah Jazz
"Thu, Nov 8, 2012 7:00 pm",Oklahoma City Thunder,Chicago Bulls
"Thu, Nov 8, 2012 7:30 pm",Los Angeles Clippers,Portland Trail Blazers
"Fri, Nov 9, 2012 7:30 pm",Miami Heat,Atlanta Hawks
"Fri, Nov 9, 2012 7:30 pm",Philadelphia 76ers,Boston Celtics
"Fri, Nov 9, 2012 8:30 pm",Utah Jazz,Denver Nuggets
"Fri, Nov 9, 2012 7:30 pm",Golden State Warriors,Los Angeles Lakers
"Fri, Nov 9, 2012 7:00 pm",Houston Rockets,Memphis Grizzlies
"Fri, Nov 9, 2012 7:00 pm",Indiana Pacers,Minnesota Timberwolves
"Fri, Nov 9, 2012 7:00 pm",Charlotte Bobcats,New Orleans Hornets
"Fri, Nov 9, 2012 7:30 pm",Dallas Mavericks,New York Knicks
"Fri, Nov 9, 2012 7:00 pm",Detroit Pistons,Oklahoma City Thunder
"Fri, Nov 9, 2012 7:00 pm",Brooklyn Nets,Orlando Magic
"Fri, Nov 9, 2012 7:00 pm",Cleveland Cavaliers,Phoenix Suns
"Fri, Nov 9, 2012 7:00 pm",San Antonio Spurs,Sacramento Kings
"Fri, Nov 9, 2012 7:00 pm",Milwaukee Bucks,Washington Wizards
"Sat, Nov 10, 2012 7:30 pm",Dallas Mavericks,Charlotte Bobcats
"Sat, Nov 10, 2012 7:00 pm",Minnesota Timberwolves,Chicago Bulls
"Sat, Nov 10, 2012 7:30 pm",Denver Nuggets,Golden State Warriors
"Sat, Nov 10, 2012 7:00 pm",Detroit Pistons,Houston Rockets
"Sat, Nov 10, 2012 7:00 pm",Washington Wizards,Indiana Pacers
"Sat, Nov 10, 2012 7:30 pm",Boston Celtics,Milwaukee Bucks
"Sat, Nov 10, 2012 7:00 pm",San Antonio Spurs,Portland Trail Blazers
"Sat, Nov 10, 2012 7:00 pm",Philadelphia 76ers,Toronto Raptors
"Sat, Nov 10, 2012 7:00 pm",Phoenix Suns,Utah Jazz
"Sun, Nov 11, 2012 3:00 pm",Orlando Magic,Brooklyn Nets
"Sun, Nov 11, 2012 12:30 pm",Atlanta Hawks,Los Angeles Clippers
"Sun, Nov 11, 2012 6:30 pm",Sacramento Kings,Los Angeles Lakers
"Sun, Nov 11, 2012 5:00 pm",Miami Heat,Memphis Grizzlies
"Sun, Nov 11, 2012 6:00 pm",Cleveland Cavaliers,Oklahoma City Thunder
"Mon, Nov 12, 2012 7:00 pm",Boston Celtics,Chicago Bulls
"Mon, Nov 12, 2012 7:30 pm",Minnesota Timberwolves,Dallas Mavericks
"Mon, Nov 12, 2012 7:30 pm",Oklahoma City Thunder,Detroit Pistons
"Mon, Nov 12, 2012 7:00 pm",Miami Heat,Houston Rockets
"Mon, Nov 12, 2012 7:00 pm",Milwaukee Bucks,Philadelphia 76ers
"Mon, Nov 12, 2012 7:00 pm",Denver Nuggets,Phoenix Suns
